miRNA	precursor
miR-1180-3p	mir-1180
miR-1225-5p	mir-1225
miR-1225-3p	mir-1225
miR-1226-5p	mir-1226
miR-1226-3p	mir-1226
miR-1227-5p	mir-1227
miR-1227-3p	mir-1227
miR-1228-5p	mir-1228
miR-1228-3p	mir-1228
miR-1229-5p	mir-1229
miR-1229-3p	mir-1229
miR-1233-5p	mir-1233-1,mir-1233-2
miR-1233-3p	mir-1233-1,mir-1233-2
miR-1234-3p	mir-1234
miR-1236-5p	mir-1236
miR-1236-3p	mir-1236
miR-1237-5p	mir-1237
miR-1237-3p	mir-1237
miR-1238-5p	mir-1238
miR-1238-3p	mir-1238
miR-1207-5p	mir-1207
miR-1207-3p	mir-1207
miR-548e-5p	mir-548e
miR-548e-3p	mir-548e
miR-548j-5p	mir-548j
miR-548j-3p	mir-548j
miR-1285-5p	mir-1285-1
miR-1285-3p	mir-1285-1,mir-1285-2
miR-1287-5p	mir-1287
miR-1287-3p	mir-1287
miR-1304-5p	mir-1304
miR-1304-3p	mir-1304
miR-548f-5p	mir-548f-1
miR-548f-3p	mir-548f-1,mir-548f-5,mir-548f-2,mir-548f-4,mir-548f-3
miR-1247-5p	mir-1247
miR-1247-3p	mir-1247
miR-1249-5p	mir-1249
miR-1249-3p	mir-1249
miR-1250-5p	mir-1250
miR-1250-3p	mir-1250
miR-1251-5p	mir-1251
miR-1251-3p	mir-1251
miR-548g-5p	mir-548g
miR-548g-3p	mir-548g
miR-548o-3p	mir-548o,mir-548o-2
miR-1266-5p	mir-1266
miR-1266-3p	mir-1266
miR-548h-5p	mir-548h-3,mir-548h-4,mir-548h-2,mir-548h-1,mir-548h-5
miR-548h-3p	mir-548h-4
miR-1277-5p	mir-1277
miR-1277-3p	mir-1277
miR-1288-5p	mir-1288
miR-1288-3p	mir-1288
miR-1292-5p	mir-1292
miR-1292-3p	mir-1292
miR-1252-5p	mir-1252
miR-1252-3p	mir-1252
miR-1255b-5p	mir-1255b-2,mir-1255b-1
miR-1255b-2-3p	mir-1255b-2
miR-664a-5p	mir-664a
miR-664a-3p	mir-664a
miR-1306-5p	mir-1306
miR-1306-3p	mir-1306
miR-1307-5p	mir-1307
miR-1307-3p	mir-1307
miR-513b-5p	mir-513b
miR-513b-3p	mir-513b
miR-513c-5p	mir-513c
miR-513c-3p	mir-513c
miR-1537-5p	mir-1537
miR-1537-3p	mir-1537
miR-1908-5p	mir-1908
miR-1908-3p	mir-1908
miR-1909-5p	mir-1909
miR-1909-3p	mir-1909
miR-1910-5p	mir-1910
miR-1910-3p	mir-1910
miR-1911-5p	mir-1911
miR-1911-3p	mir-1911
miR-1912-5p	mir-1912
miR-1912-3p	mir-1912
miR-1914-5p	mir-1914
miR-1914-3p	mir-1914
miR-1915-5p	mir-1915
miR-1915-3p	mir-1915
miR-2114-5p	mir-2114
miR-2114-3p	mir-2114
miR-2115-5p	mir-2115
miR-2115-3p	mir-2115
miR-2116-5p	mir-2116
miR-2116-3p	mir-2116
miR-2276-5p	mir-2276
miR-2276-3p	mir-2276
miR-2277-5p	mir-2277
miR-2277-3p	mir-2277
miR-2681-5p	mir-2681
miR-2681-3p	mir-2681
miR-2682-5p	mir-2682
miR-2682-3p	mir-2682
miR-3117-5p	mir-3117
miR-3117-3p	mir-3117
miR-3120-5p	mir-3120
miR-3120-3p	mir-3120
miR-3121-5p	mir-3121
miR-3121-3p	mir-3121
miR-3124-5p	mir-3124
miR-3124-3p	mir-3124
miR-3126-5p	mir-3126
miR-3126-3p	mir-3126
miR-3127-5p	mir-3127
miR-3127-3p	mir-3127
miR-3129-5p	mir-3129
miR-3129-3p	mir-3129
miR-3130-5p	mir-3130-1,mir-3130-2
miR-3130-3p	mir-3130-1,mir-3130-2
miR-3136-5p	mir-3136
miR-3136-3p	mir-3136
miR-3140-5p	mir-3140
miR-3140-3p	mir-3140
miR-548t-5p	mir-548t
miR-548t-3p	mir-548t
miR-3144-5p	mir-3144
miR-3144-3p	mir-3144
miR-3145-5p	mir-3145
miR-3145-3p	mir-3145
miR-3150a-5p	mir-3150a
miR-3150a-3p	mir-3150a
miR-3151-5p	mir-3151
miR-3151-3p	mir-3151
miR-3152-5p	mir-3152
